Reference_GAVIA,ReferenceID,Reference_Full,
"{Brook, 2003 #143}",143,"Brook, B. W., Sodhi, N. S., Soh, M. C. K., & Lim, H. C. (2003). Abundance and Projected Control of Invasive House Crows in Singapore. The Journal of Wildlife Management, 67(4), 808-817. ",
"{Brooke, 1981 #470}",470,"Brooke, R. K. (1981). The Feral Pigeon - a 'new' bird for the South African List. Bokmakierie, 33, 37-40. ",
"{Brooke, 1986 #471}",471,"Brooke, R. K., H., L. P., & de Villiers, A. L. (1986). Alien and translocated terrestrial vertebrates in South Africa. In I. A. W. MacDonald, F. J. Kruger & A. A. Ferrar (Eds.), The Ecology and Management of Biological Invasions in Southern Africa: Proceedings of the National Synthesis Symposium on the Ecology of Biological Invasions. Cape Town: Oxford University Press.",
"{Brooke, 1986 #746}",746,"Brooke, R. K. (1986). An apparent introduction of the Greenrumped Parrolet to Natal. Albatross, 285, 14. ",
"{Brooke, 1991 #654}",654,"Brooke, R. K., & Siegfried, W. R. (1991). Birds introduced to the fynbos biome of South Africa. In R. Groves & F. di Castri (Eds.), Biogeography of Mediterranean Invasions: Cambridge University Press.",
"{Brooke, 1995 #78}",78,"Brooke, R. K., Lockwood, J. L., & Moulton, M. P. (1995). Patterns of success in passeriform bird introductions on Saint Helena. Oecologia, 103, 337-342. ",
"{Brown, 1982 #324}",324,"Brown, L. H., Urban, E. K., & Newman, K. (Eds.). (1982). The Birds of Africa Vol. I (Vol. 1). London: Academic Press.",
"{Brown, 1985 #442}",442,"Brown, C. J., Macdonald, I. A. W., & Brown, S. E. (1985). Invasive Alien Organisms in South West Africa/Namibia: Directorate of Nature Conservation and Recreation Resorts and Council for Scientific and Industrial Research.",
"{Brown, 1989 #139}",139,"Brown, J. H. (1989). Patterns, Modes and Extents of Invasions by Vertebrates. In J. A. Drake, H. A. Mooney, F. Di Castri, R. H. Groves, F. J. Kruger, M. Rejmanek & M. Williamson (Eds.), Biological Invasions: a Global Perspective (pp. 85-109). Chichester: John Wiley & Sons Ltd.",
"{Brown, 2004 #694}",694,"Brown, A. C., & Collier, N. (2004). New and rare bird records from St. Martin, West Indies. Environmental Protection In the Caribbean ",
